PARK	LIFE STAGE	HEIGHT	LEAF NUMBER	LEAF L	LEAF W
ST FRAN	JUVENILE	20.4	5	14.7	6.5
ST FRAN	JUVENILE	24.3	5	12.6	7.8
ST FRAN	MATURE	36.5	5	14	7.4
ST FRAN	MATURE	59	6	18.1	9.5
ST FRAN	MATURE	47.2	6	17.1	10.3
ST FRAN	MATURE	46.7	7	17.2	9.8
ST FRAN	MATURE	42.6	6	18.5	8.9
ST FRAN	MATURE	32.5	6	7.8	5.5
ST FRAN	MATURE	24.2	6	16	5.5
ST FRAN	MATURE	30.5	6	13.4	6.8
ST FRAN	MATURE	33	5	13.5	6.8
ST FRAN	MATURE	32.8	6	12.6	6.8
ST FRAN	MATURE	36.1	6	12.7	7.9
ST FRAN	MATURE	29.6	6	11.5	5.4
ST FRAN	MATURE	30.4	6	12.8	5.7
ST FRAN	MATURE	32	5	13.8	6.1
ST FRAN	MATURE	37.7	6	12.2	6.4
ST FRAN	MATURE	30.3	6	17.7	8.2
ST FRAN	MATURE	36.3	5	12	7.7
