Anesthesia,Time,blood.pH
I,5,7.016
I,5,7.171
I,5,7.133
I,5,7.21
I,5,7.288
I,5,7.118
P,5,7.167
P,5,7.102
P,5,7.269
P,5,7.045
P,5,7.248
P,5,7.201
P,5,7.072
I,40,7.135
I,40,7.362
I,40,7.274
I,40,7.105
I,40,7.254
I,40,7.377
I,40,7.286
P,40,7.2
P,40,7.166
P,40,7.259
P,40,7.284
P,40,7.389
P,40,7.188
