pressure.tms,dissolved.NO
32.8,262.45
36.7,267.66
44.3,592.63
48.4,703.06
49.6,656.96
50.7,583.70
51.8,840.61
52.9,656.77
55.1,847.12
58.9,1024.11
66.3,1137.94
71.8,1488.57
76.5,1552.60
79.4,1732.02
84.1,1932.62
89,2149.86
96.5,2647.98
100.1,2798.65
107.2,3016.45
110.5,3415.27
114.2,3628.32
116.1,3847.47
117,3846.86
122.9,4175.33
124.4,4385.69
